Style,ATS COLOR,COLOR,SIZE,URL,INDEX
0654,BLK, Black,14,https://dl.dropboxusercontent.com/s/i4uhxsevvqoz07b/0654%20black_wm.jpg?dl=0,0
0654,BLK, Black,16,https://dl.dropboxusercontent.com/s/i4uhxsevvqoz07b/0654%20black_wm.jpg?dl=0,0
0654,BLK, Black,18,https://dl.dropboxusercontent.com/s/i4uhxsevvqoz07b/0654%20black_wm.jpg?dl=0,0
0654,PURPLE, Purple,8,https://dl.dropboxusercontent.com/s/rvwxmgbvab9mh9n/0654%20purple_wm.jpg?dl=0,0
0654,PURPLE, Purple,10,https://dl.dropboxusercontent.com/s/rvwxmgbvab9mh9n/0654%20purple_wm.jpg?dl=0,0
0654,PURPLE, Purple,12,https://dl.dropboxusercontent.com/s/rvwxmgbvab9mh9n/0654%20purple_wm.jpg?dl=0,0
0654,PURPLE, Purple,14,https://dl.dropboxusercontent.com/s/rvwxmgbvab9mh9n/0654%20purple_wm.jpg?dl=0,0
0654,PURPLE, Purple,16,https://dl.dropboxusercontent.com/s/rvwxmgbvab9mh9n/0654%20purple_wm.jpg?dl=0,0
0654,PURPLE, Purple,18,https://dl.dropboxusercontent.com/s/rvwxmgbvab9mh9n/0654%20purple_wm.jpg?dl=0,0
0654,RED, Red,8,https://dl.dropboxusercontent.com/s/ac0kbp8v4m838ne/0654%20red_wm.jpg?dl=0,0
0654,RED, Red,10,https://dl.dropboxusercontent.com/s/ac0kbp8v4m838ne/0654%20red_wm.jpg?dl=0,0
0654,RED, Red,12,https://dl.dropboxusercontent.com/s/ac0kbp8v4m838ne/0654%20red_wm.jpg?dl=0,0
0654,RED, Red,14,https://dl.dropboxusercontent.com/s/ac0kbp8v4m838ne/0654%20red_wm.jpg?dl=0,0
0654,RED, Red,16,https://dl.dropboxusercontent.com/s/ac0kbp8v4m838ne/0654%20red_wm.jpg?dl=0,0
0654,RED, Red,18,https://dl.dropboxusercontent.com/s/ac0kbp8v4m838ne/0654%20red_wm.jpg?dl=0,0
0654,RYL, Royal,8,https://dl.dropboxusercontent.com/s/vpd96zmvyi6e964/0654%20royal_wm.jpg?dl=0,0
