'0710W,BLACK,,,,,,,,,,,,,,,7,7,,,,,,,
'0710W,NAVY #1834,,,,,,,,,,,4,7,,,,,,,,,,,
'0710W,WHITE,,,,,,,,,,,,7,2,,,,,,,,,,
'0710W,IVORY,,,,,,,,,,,1,,,7,,,,,,,,,
'0710W,ROYAL,,,,,,,,,6,,2,,,,,,,,,,,,
'0710W,BLACK #1834,,,,,,,,,,,2,5,,,,,,,,,,,
'0710W,ROYAL #1834,,,,,,,,,2,,,,,,,,,,,,,,
'0710W,CHOCOLATE,,,,,,,,,,,,1,,,,,,,,,,,
'0710W,NAVY,,,,,,,,,,1,,,,,,,,,,,,,
'0711W,LIME,,,,,,,,,,,,6,4,,,,,,,,,,
'0711W,FUCHSIA,,,,,,,,,,,,,,6,,,,,,,,,
'0818,NAVY,,7,3,5,,,,,,,,,,,,,,,,,,,
'0818,FUCHSIA,,,,6,,,,,,,,,,,,,,,,,,,
'0822,PEACH,,,5,7,3,2,7,,7,,,,,,,,,,,,,,
'0822,NAVY,,1,,,,,,,,,,,,,,,,,,,,,
'0822W,PEACH,,,,,,,,,7,,,,,,,,,,,,,,
'0823,RED,,,,5,4,,5,6,6,,5,,,5,,,,,,,,,
'0823,ROYAL,,1,,,,2,7,5,,,,6,,,,,,,,,,,
'0823,WHITE,,,,,,,,,,,,,,7,4,6,,,,,,,
'0823,BLACK,,,3,,,,,,,,,,,2,4,7,,,,,,,
'0823,CHOCOLATE,,,,,,,,1,4,2,,,1,7,,,,,,,,,
'0823,NAVY,,1,,,,,7,,,,,,,,,5,,,,,,,
'0823,PURPLE,,,,,7,,,,,,,,,,,,,,,,,,
'0823,SILVER,,,,,,,,1,,4,,,2,,,,,,,,,,
Style,Color,6,8,10,12,14,16,18,14w,16w,18w,20w,22w,24w,26w,28w,30w,32w,S,M,L,XL,1X,2X
'0823W,RED,,,,,,,,6,6,,5,,,5,,,,,,,,,
'0823W,WHITE,,,,,,,,,,,,,,7,4,6,,,,,,,
'0823W,CHOCOLATE,,,,,,,,1,4,2,,,1,7,,,,,,,,,
'0823W,BLACK,,,,,,,,,,,,,,2,4,7,,,,,,,
'0823W,ROYAL,,,,,,,,5,,,,6,,,,,,,,,,,
'0823W,SILVER,,,,,,,,1,,4,,,2,,,,,,,,,,
'0823W,NAVY,,,,,,,,,,,,,,,,5,,,,,,,
'0824,SILVER,,,7,,,7,,,,7,,,,6,,,,,,,,,
'0824,BLACK #1835,,,3,,,,6,,1,,,,7,4,5,,,,,,,,
'0824,ROYAL,,2,7,,,,1,6,,,,6,,2,,,,,,,,,
'0824,WHITE,,,,,,,,2,5,6,,5,2,,,,,,,,,,
'0824,BLACK,,3,3,,,,,,,,,,3,,,,,,,,,,
'0824,PLUM,,,,1,1,1,5,,,,,,,,,,,,,,,,
'0824,ROYAL #1835,,7,,,,,,,,,,,,,,,,,,,,,
'0824,CRANBERRY,,4,,,,,,,,,,,,,,,,,,,,,
'0824,WHITE #1860,,3,,,,,,,,,,,,,,,,,,,,,
'0824W,WHITE,,,,,,,,2,5,6,,5,2,,,,,,,,,,
'0824W,BLACK #1835,,,,,,,,,1,,,,7,4,5,,,,,,,,
'0824W,ROYAL,,,,,,,,6,,,,6,,2,,,,,,,,,
'0824W,SILVER,,,,,,,,,,7,,,,6,,,,,,,,,
'0824W,BLACK,,,,,,,,,,,,,3,,,,,,,,,,
'0825,CHOCOLATE,,2,,1,,2,3,6,,7,,,,7,,,,,,,,,
'0825,WHITE,,2,5,,2,,,2,,1,6,,7,,,,,,,,,,
'0825,BLACK,,1,1,,,,,,,,,,4,,,,,,,,,,
'0825W,CHOCOLATE,,,,,,,,6,,7,,,,7,,,,,,,,,
'0825W,WHITE,,,,,,,,2,,1,6,,7,,,,,,,,,,
'0825W,BLACK,,,,,,,,,,,,,4,,,,,,,,,,
'0826,BLACK,,,,,,2,3,,,,6,,,,,,,,,,,,
'0826W,BLACK,,,,,,,,,,,6,,,,,,,,,,,,
'0867,BLACK,,,3,,,,1,,,,,,6,,,,,,,,,,
'0867,WHITE,,,,,,,,,,,,,3,1,,,,,,,,,
'0867W,BLACK,,,,,,,,,,,,,6,,,,,,,,,,
'0867W,WHITE,,,,,,,,,,,,,3,1,,,,,,,,,
Style,Color,6,8,10,12,14,16,18,14w,16w,18w,20w,22w,24w,26w,28w,30w,32w,S,M,L,XL,1X,2X
'0875,PEACOCK,,,2,,,,,,,,,,,,,,,,,,,,
'0875,LAVENDER,,,1,,,,,,,,,,,,,,,,,,,,
'0877,NAVY,,6,,,,6,5,6,,,,,,5,,,,,,,,,
'0877,WHITE,,,,,,,,,,,3,,,1,,,,,,,,,
'0877W,NAVY,,,,,,,,6,,,,,,5,,,,,,,,,
'0877W,WHITE,,,,,,,,,,,3,,,1,,,,,,,,,
'0888,SAPPHIRE/TEAL,,1,5,2,,,,,6,2,,,,,,,,,,,,,
'0888W,SAPPHIRE/TEAL,,,,,,,,,6,2,,,,,,,,,,,,,
'0889,WHITE,,,5,,,,,,,,,,,,,,,,,,,,
'0899,SEAFOAM,,,,,,,6,,,,,,,,,,,,,,,,
'0907,CHAMPAGNE,,,,,,,,5,,,,7,,,,,,,,,,,
'0907W,CHAMPAGNE,,,,,,,,5,,,,7,,,,,,,,,,,
'0908,EMERALD,,,5,,,,,,,6,,,,,,,,,,,,,
'0908,CHAMPAGNE,,,,,,,,4,,,,,,,,,,,,,,,
'0908W,EMERALD,,,,,,,,,,6,,,,,,,,,,,,,
