code,color,descript,stdcost,price,division,category,season,user4,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,sku,cost,grp,warehouse,memo,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,onhand,onorder,wip,pick,alloc,available,is_actual,active,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,nowip_ats1,nowip_ats2,nowip_ats3,nowip_ats4,nowip_ats5,nowip_ats6,nowip_ats7,nowip_ats8,nowip_ats9,nowip_ats10,nowip_ats11,nowip_ats12,nowip_total,descript
0710W,NAVY #1834,2 PC SET WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,18,26,24,7,9,8,9,0,0,0,101,0,0,0,0,101.0000,,1,0,0,18.0000,26.0000,24.0000,7.0000,9.0000,8.0000,9.0000,0,0,0,0,0,18,26,24,7,9,8,9,0,0,0,101,NAVY
0710W,RYL,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,13,0,3,18,15,22,10,11,0,92,0,0,0,0,92.0000,,1,0,0,0,13.0000,0,3.0000,18.0000,15.0000,22.0000,10.0000,11.0000,0,0,0,0,13,0,3,18,15,22,10,11,0,92,ROYAL
0710W,RYL #1834,2 PC SET WASHABLE,,39.0000,W11,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,,,,,,,0,GIO,00,,0,0,18,5,21,13,0,0,0,0,0,0,57,1,0,1.0000,0,56.0000,,1,0,0,18.0000,5.0000,20.0000,13.0000,0,0,0,0,0,0,0,0,18,5,20,13,0,0,0,0,0,0,56,ROYAL
0710W,WHT,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,0,0,0,0,8,3,10,11,9,0,41,0,0,0,0,41.0000,,1,0,0,0,0,0,0,8.0000,3.0000,10.0000,11.0000,9.0000,0,0,0,0,0,0,0,8,3,10,11,9,0,41,WHITE
0710W,WHT#1809,2 PC SET WASHABLE,,39.0000,W12,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,28W,30W,,,0,GIO,00,,0,0,1,3,0,5,0,7,12,4,7,0,39,0,0,0,0,39.0000,,1,0,0,1.0000,3.0000,0,5.0000,0,7.0000,12.0000,4.0000,7.0000,0,0,0,1,3,0,5,0,7,12,4,7,0,39,WHITE
0711A,LIME,2 PC WASHABLE SUIT,,39.0000,M1,SUIT,ALL,N,,,,,,,,,,,,,,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,3.0000,,1,0,0,1.0000,1.0000,0,1.0000,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,LIME
0711A,NAVY,2 PC WASHABLE SUIT,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,1,1,6,16,14,9,0,0,0,0,0,0,47,0,0,0,0,47.0000,,1,1.0000,1.0000,6.0000,16.0000,14.0000,9.0000,0,0,0,0,0,0,1,1,6,16,14,9,0,0,0,0,0,0,47,NAVY
0711W,LIME,2 PC WASHABLE SUIT,,39.0000,W2,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,,,,,,0,GIO,00,,0,0,9,3,0,3,7,5,0,0,0,0,27,0,0,0,0,27.0000,,1,0,0,9.0000,3.0000,0,3.0000,7.0000,5.0000,0,0,0,0,0,0,9,3,0,3,7,5,0,0,0,0,27,LIME
0711W,NAVY,2 PC WASHABLE SUIT,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,3,1,1,3,10,8,2,0,0,0,28,0,0,0,0,28.0000,,1,0,0,3.0000,1.0000,1.0000,3.0000,10.0000,8.0000,2.0000,0,0,0,0,0,3,1,1,3,10,8,2,0,0,0,28,NAVY
0818,FUCHSIA,2 PC WASHABLE,,39.0000,M1,SUIT,ALL,N,,,,,,,,,,,,,,10,12,14,16,18,,,,,,,,0,GIO,00,,0,14,16,21,20,18,0,0,0,0,0,0,89,0,0,0,0,89.0000,,1,0,14.0000,16.0000,21.0000,20.0000,18.0000,0,0,0,0,0,0,0,14,16,21,20,18,0,0,0,0,0,0,89,FUCHSIA
0818,NAVY,2 PC WASHABLE,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,10,7,14,25,24,17,0,0,0,0,0,0,97,0,0,0,0,97.0000,,1,10.0000,7.0000,14.0000,25.0000,24.0000,17.0000,0,0,0,0,0,0,10,7,14,25,24,17,0,0,0,0,0,0,97,NAVY
0818W,FUCHSIA,2 PC WASHABLE,,39.0000,W2,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,,,,,,0,GIO,00,,0,0,14,23,23,23,18,15,0,0,0,0,116,0,0,0,0,116.0000,,1,0,0,14.0000,23.0000,23.0000,23.0000,18.0000,15.0000,0,0,0,0,0,0,14,23,23,23,18,15,0,0,0,0,116,FUCHSIA
0818W,NAVY,2 PC WASHABLE,,39.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,13,23,21,23,24,18,12,0,0,0,134,0,0,0,0,134.0000,,1,0,0,13.0000,23.0000,21.0000,23.0000,24.0000,18.0000,12.0000,0,0,0,0,0,13,23,21,23,24,18,12,0,0,0,134,NAVY
