IN,Supplier Sku,YES,Quantity,Blank,Blank,Blank,Blank,Decription,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,SKU,JCPENNEY
IN,0650W-CHOCOLATE-18W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700232,JCPENNEY
IN,0650W-CHOCOLATE-20W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700240,JCPENNEY
IN,0650W-CHOCOLATE-22W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700257,JCPENNEY
IN,0650W-CHOCOLATE-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700265,JCPENNEY
IN,0650W-CHOCOLATE-26W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700273,JCPENNEY
IN,0650-WHITE-10,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670869,JCPENNEY
IN,0650-WHITE-12,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670877,JCPENNEY
IN,0650-WHITE-14,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670885,JCPENNEY
IN,0650-WHITE-16,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670893,JCPENNEY
IN,0650-WHITE-18,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670901,JCPENNEY
IN,0650-WHITE-8,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,69928670851,JCPENNEY
IN,0650W-ROYAL-14W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700414,JCPENNEY
IN,0650W-ROYAL-16W,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700422,JCPENNEY
IN,0650W-ROYAL-18W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700430,JCPENNEY
IN,0650W-ROYAL-20W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700448,JCPENNEY
IN,0650W-ROYAL-22W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700455,JCPENNEY
IN,0650W-ROYAL-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700463,JCPENNEY
IN,0650W-ROYAL-26W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700471,JCPENNEY
IN,0650W-ROYAL-28W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700489,JCPENNEY
IN,0650W-ROYAL-30W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700497,JCPENNEY
IN,0650W-SILVER-14W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700612,JCPENNEY
IN,0650W-SILVER-16W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700620,JCPENNEY
IN,0650W-SILVER-18W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700638,JCPENNEY
IN,0650W-SILVER-20W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700646,JCPENNEY
IN,0650W-SILVER-22W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700653,JCPENNEY
IN,0650W-SILVER-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700661,JCPENNEY
IN,0650W-SILVER-26W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700679,JCPENNEY
IN,0650W-WHITE-14W,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700810,JCPENNEY
IN,0650W-WHITE-16W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700828,JCPENNEY
IN,0650W-WHITE-18W,Yes,1,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700836,JCPENNEY
IN,0650W-WHITE-20W,Yes,0,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700844,JCPENNEY
IN,0650W-WHITE-22W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700851,JCPENNEY
IN,0650W-WHITE-24W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700869,JCPENNEY
IN,0650W-WHITE-26W,Yes,3,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700877,JCPENNEY
IN,0650W-WHITE-28W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700885,JCPENNEY
IN,0650W-WHITE-30W,Yes,2,,,,,3 PC SKRT SUIT,,,,,,,,,,,,,,87602700893,JCPENNEY
IN,0654-BLACK-10,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680067,JCPENNEY
IN,0654-BLACK-12,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680075,JCPENNEY
IN,0654-BLACK-18,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680109,JCPENNEY
IN,0654-BLACK-8,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680059,JCPENNEY
IN,0654-PURPLE-10,Yes,1,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680265,JCPENNEY
IN,0654-PURPLE-12,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680273,JCPENNEY
IN,0654-PURPLE-14,Yes,1,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680281,JCPENNEY
IN,0654-PURPLE-16,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680299,JCPENNEY
IN,0654-PURPLE-18,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680307,JCPENNEY
IN,0654-PURPLE-8,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680257,JCPENNEY
IN,0654-RED-10,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680463,JCPENNEY
IN,0654-RED-12,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680471,JCPENNEY
IN,0654-RED-14,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680489,JCPENNEY
IN,0654-RED-16,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680497,JCPENNEY
IN,0654-RED-18,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680505,JCPENNEY
IN,0654-ROYAL-10,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680869,JCPENNEY
IN,0654-ROYAL-12,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680877,JCPENNEY
IN,0654-ROYAL-14,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680885,JCPENNEY
IN,0654-ROYAL-16,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680893,JCPENNEY
IN,0654-ROYAL-18,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680901,JCPENNEY
IN,0654-ROYAL-8,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680851,JCPENNEY
IN,0654W-BLACK-14W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710018,JCPENNEY
IN,0654W-BLACK-16W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710026,JCPENNEY
IN,0654W-BLACK-18W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710034,JCPENNEY
IN,0654W-BLACK-20W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710042,JCPENNEY
IN,0654W-BLACK-22W,Yes,1,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710059,JCPENNEY
IN,0654W-BLACK-24W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710067,JCPENNEY
IN,0654W-BLACK-26W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710075,JCPENNEY
IN,0654-WHITE-10,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680661,JCPENNEY
IN,0654-WHITE-12,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680679,JCPENNEY
IN,0654-WHITE-14,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680687,JCPENNEY
IN,0654-WHITE-16,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680695,JCPENNEY
IN,0654-WHITE-18,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680703,JCPENNEY
IN,0654-WHITE-8,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,69928680653,JCPENNEY
IN,0654W-PURPLE-14W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710216,JCPENNEY
IN,0654W-PURPLE-16W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710224,JCPENNEY
IN,0654W-PURPLE-18W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710232,JCPENNEY
IN,0654W-PURPLE-20W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710240,JCPENNEY
IN,0654W-PURPLE-22W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710257,JCPENNEY
IN,0654W-PURPLE-24W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710265,JCPENNEY
IN,0654W-PURPLE-26W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710273,JCPENNEY
IN,0654W-RED-14W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710414,JCPENNEY
IN,0654W-RED-16W,Yes,0,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710422,JCPENNEY
IN,0654W-RED-18W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710430,JCPENNEY
IN,0654W-RED-20W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710448,JCPENNEY
IN,0654W-RED-22W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710455,JCPENNEY
IN,0654W-RED-24W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710463,JCPENNEY
IN,0654W-RED-26W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710471,JCPENNEY
IN,0654W-ROYAL-14W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710810,JCPENNEY
IN,0654W-ROYAL-16W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710828,JCPENNEY
IN,0654W-ROYAL-18W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710836,JCPENNEY
IN,0654W-ROYAL-20W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710844,JCPENNEY
IN,0654W-ROYAL-22W,Yes,3,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710851,JCPENNEY
IN,0654W-ROYAL-24W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710869,JCPENNEY
IN,0654W-ROYAL-26W,Yes,2,,,,,2 PC SKRT SUIT,,,,,,,,,,,,,,87602710877,JCPENNEY
