OS CODE,WINFA CODE,COLOR,SIZE,,,,
G1007-Red-14,G1007,RED,,,,,
G1007-Red-16,G1007,RED,,,,,
G1007-Red-18,G1007,RED,,,,,
G1007-SoftPink-10,,,,,,,
G1007-SoftPink-12,,,,,,,
G1007-SoftPink-14,,,,,,,
G1007-SoftPink-16,,,,,,,
G1007-SoftPink-18,,,,,,,
G1007W-Black-14W,G1007W,BLK,,,,,
G1007W-Black-16W,G1007W,BLK,,,,,
G1007W-Black-18W,G1007W,BLK,,,,,
G1007W-Black-20W,G1007W,BLK,,,,,
G1007W-Black-22W,G1007W,BLK,,,,,
G1007W-Black-24W,G1007W,BLK,,,,,
G1007W-Black-26W,G1007W,BLK,,,,,
G1007W-Choco-14W,G1007W,CHOCO,,,G1007,Emerald,
G1007W-Choco-16W,G1007W,CHOCO,,,,,
G1007W-Choco-18W,G1007W,CHOCO,,,,,
G1007W-Choco-20W,G1007W,CHOCO,,,,,
G1007W-Choco-22W,G1007W,CHOCO,,,,,
G1007W-Choco-24W,G1007W,CHOCO,,,,,
G1007W-Choco-26W,G1007W,CHOCO,,,,,
G1007W-Emerald-14W,G1007W,Emerald,,,,,
G1007W-Emerald-16W,G1007W,Emerald,,,,,
G1007W-Emerald-18W,G1007W,Emerald,,,,,
G1007W-Emerald-20W,G1007W,Emerald,,,,,
G1007W-Emerald-22W,G1007W,Emerald,,,,,
G1007W-Emerald-24W,G1007W,Emerald,,,,,
G1007W-Emerald-26W,G1007W,Emerald,,,,,
G1007-White-10,,,,,,,
G1007-White-12,,,,,,,
G1007-White-14,,,,,,,
G1007-White-16,,,,,,,
G1007-White-18,,,,,,,
G1007W-IBlue-16W,,,G1007W,ICE BLUE,,,
G1007W-IBlue-18W,,,G1007W,ICE BLUE,,,
G1007W-IBlue-20W,,,G1007W,ICE BLUE,,,
G1007W-IBlue-22W,,,G1007W,ICE BLUE,,,
G1007W-IBlue-24W,,,G1007W,ICE BLUE,,,
G1007W-IBlue-26W,,,G1007W,ICE BLUE,,,
G1007W-Red-14W,G1007W,RED,,,,,
G1007W-Red-16W,G1007W,RED,,,,,
G1007W-Red-18W,G1007W,RED,,,,,
G1007W-Red-20W,G1007W,RED,,,,,
G1007W-Red-22W,G1007W,RED,,,,,
G1007W-Red-24W,G1007W,RED,,,,,
G1007W-Red-26W,G1007W,RED,,,,,
G1007W-SPink-14W,G1007W,SPK,,,,,
G1007W-SPink-16W,G1007W,SPK,,,,,
G1007W-SPink-18W,G1007W,SPK,,,,,
G1007W-SPink-20W,G1007W,SPK,,,,,
G1007W-SPink-22W,G1007W,SPK,,,,,
G1007W-SPink-24W,G1007W,SPK,,,,,
G1007W-SPink-26W,G1007W,SPK,,,,,
G1007W-White-14W,G1007W,WHT,,,,,
G1007W-White-16W,G1007W,WHT,,,,,
G1007W-White-18W,G1007W,WHT,,,,,
G1007W-White-20W,G1007W,WHT,,,,,
G1007W-White-22W,G1007W,WHT,,,,,
G1007W-White-24W,G1007W,WHT,,,,,
G1007W-White-26W,G1007W,WHT,,,,,
G1009-Choco-10,,,,,,,
G1009-Choco-12,,,,,,,
G1009-Choco-14,,,,,,,
G1009-Choco-16,,,,,,,
G1009-Choco-18,,,,,,,
G1009-Chocolate-10,,,,,,,
G1009-Chocolate-12,,,,,,,
G1009-Chocolate-14,,,,,,,
G1009-Chocolate-16,,,,,,,
G1009-Chocolate-18,,,,,,,
G1009-Purple-10,,,,,,,
G1009-Purple-12,,,,,,,
G1009-Purple-14,,,,,,,
G1009-Purple-16,,,,,,,
G1009-Purple-18,,,,,,,
G1009-Royal-10,,,,,,,
G1009-Royal-12,,,,,,,
G1009-Royal-14,,,,,,,
G1009-Royal-16,,,,,,,
G1009-Royal-18,,,,,,,
G1009W-Choco-14W,,,,,,,
G1009W-Choco-16W,,,,,,,
G1009W-Choco-18W,,,,,,,
G1009W-Choco-20W,,,,,,,
G1009W-Choco-22W,,,,,,,
G1009W-Choco-24W,,,,,,,
G1009-White-10,,,,,,,
G1009-White-12,,,,,,,
G1009-White-14,,,,,,,
G1009-White-16,,,,,,,
G1009-White-18,,,,,,,
G1009W-Purple-14W,,,,,,,
G1009W-Purple-16W,,,,,,,
G1009W-Purple-18W,,,,,,,
G1009W-Purple-20W,,,,,,,
G1009W-Purple-22W,,,,,,,
G1009W-Purple-24W,,,,,,,
G1009W-Royal-14W,,,,,,,
G1009W-Royal-16W,,,,,,,
G1009W-Royal-18W,,,,,,,
G1009W-Royal-20W,,,,,,,
G1009W-Royal-22W,,,,,,,
G1009W-Royal-24W,,,,,,,
G1009W-White-14W,,,,,,,
G1009W-White-16W,,,,,,,
G1009W-White-18W,,,,,,,
G1009W-White-20W,,,,,,,
G1009W-White-22W,,,,,,,
G1009W-White-24W,,,,,,,
G1010-Black-10,,,,,,,
G1010-Black-12,,,,,,,
G1010-Black-14,,,,,,,
G1010-Black-16,,,,,,,
G1010-Black-18,,,,,,,
G1010-Ginger-10,G1010,GINGER,,,,,
G1010-Ginger-12,G1010,GINGER,,,,,
G1010-Ginger-14,G1010,GINGER,,,,,
G1010-Ginger-16,G1010,GINGER,,,,,
G1010-Ginger-18,G1010,GINGER,,,,,
G1010-Purple-10,G1010,GINGER,,,,,
G1010-Purple-12,,,,,,,
G1010-Purple-14,,,,,,,
G1010-Purple-16,,,,,,,
G1010-Purple-18,,,,,,,
G1010-Royal-10,,,,,,,
G1010-Royal-12,,,,,,,
G1010-Royal-14,,,,,,,
G1010-Royal-16,,,,,,,
G1010-Royal-18,,,,,,,
G1010-Silver-10,,,,,,,
G1010-Silver-12,,,,,,,
G1010-Silver-14,,,,,,,
G1010-Silver-16,,,,,,,
G1010-Silver-18,,,,,,,
G1010W-Black-14W,G1010W,BLK,,,,,
G1010W-Black-16W,G1010W,BLK,,,,,
G1010W-Black-18W,G1010W,BLK,,,,,
G1010W-Black-20W,G1010W,BLK,,,,,
G1010W-Black-22W,G1010W,BLK,,,,,
G1010W-Black-24W,G1010W,BLK,,,,,
G1010W-Black-26W,G1010W,BLK,,,,,
G1010W-Ginger-14W,,,,,,,
G1010W-Ginger-16W,,,,,,,
G1010W-Ginger-18W,,,,,,,
G1010W-Ginger-20W,,,,,,,
G1010W-Ginger-22W,,,,,,,
G1010W-Ginger-24W,,,,,,,
G1010W-Ginger-26W,,,,,,,
G1010-White-10,,,,,,,
G1010-White-12,,,,,,,
G1010-White-14,,,,,,,
G1010-White-16,,,,,,,
G1010-White-18,,,,,,,
G1010W-Royal-14W,,,,,,,
G1010W-Royal-16W,,,,,,,
G1010W-Royal-18W,,,,,,,
G1010W-Royal-20W,,,,,,,
G1010W-Royal-22W,,,,,,,
G1010W-Royal-24W,,,,,,,
G1010W-Royal-26W,,,,,,,
G1010W-Silver-14W,,,,,,,
G1010W-Silver-16W,,,,,,,
G1010W-Silver-18W,,,,,,,
G1010W-Silver-20W,,,,,,,
G1010W-Silver-22W,,,,,,,
G1010W-Silver-24W,,,,,,,
G1010W-Silver-26W,,,,,,,
G1010W-White-14W,,,,,,,
G1010W-White-16W,,,,,,,
G1010W-White-18W,,,,,,,
G1010W-White-20W,,,,,,,
G1010W-White-22W,,,,,,,
G1010W-White-24W,,,,,,,
G1010W-White-26W,,,,,,,
G1012-Blue-10,,,,,,,
G1012-Blue-12,,,,,,,
G1012-Blue-14,,,,,,,
G1012-Blue-16,,,,,,,
G1012-Blue-18,,,,,,,
G1012-Pink-10,,,,,,,
G1012-Pink-12,,,,,,,
G1012-Pink-14,,,,,,,
G1012-Pink-16,,,,,,,
G1012-Pink-18,,,,,,,
G1012-Royal-10,,,,,,,
G1012-Royal-12,,,,,,,
G1012-Royal-14,,,,,,,
G1012-Royal-16,,,,,,,
G1012-Royal-18,,,,,,,
G1012-White-10,,,,,,,
G1012-White-12,,,,,,,
G1012-White-14,,,,,,,
G1012-White-16,,,,,,,
G1012-White-18,,,,,,,
G1012W-White-14W,,,,,,,
G1012W-White-16W,,,,,,,
G1012W-White-18W,,,,,,,
G1012W-White-20W,,,,,,,
G1012W-White-22W,,,,,,,
G1012W-White-24W,,,,,,,
G1012W-White-26W,,,,,,,
G1013-Gold-10,,,,,,,
G1013-Gold-12,,,,,,,
G1013-Gold-14,,,,,,,
G1013-Gold-16,,,,,,,
G1013-Gold-18,,,,,,,
G1013-Navy-10,,,,,,,
G1013-Navy-12,,,,,,,
G1013-Navy-14,,,,,,,
G1013-Navy-16,,,,,,,
G1013-Navy-18,,,,,,,
G1013-Purple-10,,,,,,,
G1013-Purple-12,,,,,,,
G1013-Purple-14,,,,,,,
G1013-Purple-16,,,,,,,
G1013-Purple-18,,,,,,,
G1013W-Gold-16W,,,,,,,
G1013W-Gold-18W,,,,,,,
G1013W-Gold-20W,,,,,,,
G1013W-Gold-22W,,,,,,,
G1013W-Gold-24W,,,,,,,
G1013W-Gold-26W,,,,,,,
G1013W-Navy-16W,,,,,,,
G1013W-Navy-18W,,,,,,,
G1013W-Navy-20W,,,,,,,
G1013W-Navy-22W,,,,,,,
G1013W-Navy-24W,,,,,,,
G1013W-Purple-16W,,,,,,,
G1013W-Purple-18W,,,,,,,
G1014-Eggplant-10,,,,,,,
G1014-Eggplant-12,,,,,,,
G1014-Eggplant-14,,,,,,,
G1014-Eggplant-16,,,,,,,
G1014-Eggplant-18,,,,,,,
G1014-Gold-10,,,,,,,
G1014-Gold-12,,,,,,,
G1014-Gold-14,,,,,,,
G1014-Gold-16,,,,,,,
G1014-Gold-18,,,,,,,
G1014-Nvy/Slvr-10,,,,,,,
G1014-Nvy/Slvr-12,,,,,,,
G1014-Nvy/Slvr-14,,,,,,,
G1014-Nvy/Slvr-16,,,,,,,
G1014-Nvy/Slvr-18,,,,,,,
G1014W-Eggplant-14W,,,,,,,
G1014W-Eggplant-16W,,,,,,,
G1014W-Eggplant-18W,,,,,,,
G1014W-Eggplant-20W,,,,,,,
G1014W-Eggplant-22W,,,,,,,
G1014W-Eggplant-24W,,,,,,,
G1014W-Eggplant-26W,,,,,,,
G1014W-Gold-14W,,,,,,,
G1014W-Gold-16W,,,,,,,
G1014W-Gold-18W,,,,,,,
G1014W-Gold-20W,,,,,,,
G1014W-Gold-22W,,,,,,,
G1014W-Gold-24W,,,,,,,
G1014W-Gold-26W,,,,,,,
G1014-Wht/Slvr-10,,,,,,,
G1014-Wht/Slvr-12,,,,,,,
G1014-Wht/Slvr-14,,,,,,,
G1014-Wht/Slvr-16,,,,,,,
G1014-Wht/Slvr-18,,,,,,,
G1014W-Nvy/Silv-14W,,,,,,,
G1014W-Nvy/Silv-16W,,,,,,,
G1014W-Nvy/Silv-18W,,,,,,,
G1014W-Nvy/Silv-20W,,,,,,,
G1014W-Nvy/Silv-22W,,,,,,,
G1014W-Nvy/Silv-24W,,,,,,,
G1014W-Nvy/Silv-26W,,,,,,,
G1015-Ivy/Gld-10,,,,,,,
G1015-Ivy/Gld-12,,,,,,,
G1015-Ivy/Gld-14,,,,,,,
G1015-Ivy/Gld-16,,,,,,,
G1015-Ivy/Gld-18,,,,,,,
G1016-Black/White-10,,,,,,,
G1016-Black/White-12,,,,,,,
G1016-Black/White-14,,,,,,,
G1016-Black/White-16,,,,,,,
G1016-Black/White-18,,,,,,,
G1016-Black/White-8,,,,,,,
G1016W-Blk/Wht-14W,,,,,,,
G1016W-Blk/Wht-16W,,,,,,,
G1016W-Blk/Wht-18W,,,,,,,
G1016W-Blk/Wht-20W,,,,,,,
G1016W-Blk/Wht-22W,,,,,,,
G1016W-Blk/Wht-24W,,,,,,,
G1016W-Blk/Wht-26W,,,,,,,
G1016-White/Black-10,,,,,,,
G1016-White/Black-12,,,,,,,
G1016-White/Black-14,,,,,,,
G1016-White/Black-16,,,,,,,
G1016-White/Black-18,,,,,,,
G1016W-Wht/Blk-14W,,,,,,,
G1016W-Wht/Blk-16W,,,,,,,
G1016W-Wht/Blk-18W,,,,,,,
G1016W-Wht/Blk-20W,,,,,,,
G1016W-Wht/Blk-22W,,,,,,,
G1016W-Wht/Blk-24W,,,,,,,
G1016W-Wht/Blk-26W,,,,,,,
G1017-Blk/Wht-10,,,,,,,
G1017-Blk/Wht-12,,,,,,,
G1017-Blk/Wht-14,,,,,,,
G1017-Blk/Wht-16,,,,,,,
G1017-Blk/Wht-18,,,,,,,
G1017W-Blk/Wht-14W,,,,,,,
G1017W-Blk/Wht-16W,,,,,,,
G1017W-Blk/Wht-18W,,,,,,,
G1017W-Blk/Wht-20W,,,,,,,
