Name,Address,City,State,Zip
Wood's Memorial Baptist Church,5665 Old National Hwy,Atlanta,GA,30349
Zion Grove Baptist Church,606 Pryor St SW,Atlanta,GA,30312
Zion Hill Baptist Church,3390 S Puckett Rd,Buford,GA,30519
Cathedral of Christ the King,2699 Peachtree Rd NE,Atlanta,GA,30305
Catholic Center Auc,809 Beckwith St SW,Atlanta,GA,30314
Most Blessed Sacrament,2971 Butner Rd SW,Atlanta,GA,30331
Our Lady of Lourdes,29 Boulevard NE,Atlanta,GA,30312
Sacred Heart Church,1323 MacArthur Dr,Griffin,GA,30224
St Anthony Catholic Church,928 Ralph David Abernathy Blvd SW,Atlanta,GA,30310
St Jude's Catholic Church,7171 Glenridge Dr NE,Atlanta,GA,30328
St Paul of the Cross Church,551 Harwell Rd NW,Atlanta,GA,30318
Ben Hill Christian Church,4099 Sunset Dr SW,Atlanta,GA,30331
Brookhaven Christian Church,4500 Peachtree Rd NE,Atlanta,GA,30319
Peachtree Christian Church,1580 Peachtree St NW,Atlanta,GA,30309
Sandy Springs Christian Church,301 Johnson Ferry Rd NW,Atlanta,GA,30328
Christian Church Buckhead,2416 Piedmont Rd NE,Atlanta,GA,30324
Church of Christ Turner Road,1923 Turner Rd SE,Atlanta,GA,30315
Embry Hills Church of Christ,PO Box 941095,Atlanta,GA,31141
Greenbriar Church of Christ,3243 Stone Rd SW,Atlanta,GA,30331
Simpson Street Church-Christ,PO Box 92760,Atlanta,GA,30314
All Saints Episcopal Church,443 S Hansell St,Thomasville,GA,31792
Cathedral of St Philip,2744 Peachtree Rd NW,Atlanta,GA,30305
Church of Our Saviour,4227 Columbia Rd,Martinez,GA,30907
Church of the Apostles,3585 Northside Pky NW,Atlanta,GA,30327
Church of the Atonement,4945 High Point Rd NE,Atlanta,GA,30342
Church of the Epiphany,2089 Ponce de Leon Ave NE,Atlanta,GA,30307
Church of the Incarnation,2407 Cascade Rd SW,Atlanta,GA,30311
Holy Innocents' Episcopal Chr,805 Mt Vernon Hwy NW,Atlanta,GA,30327
St Anne's Episcopal Church,3098 Saint Annes Ln NW,Atlanta,GA,30327
St Bartholomew's,1790 Lavista Rd NE,Atlanta,GA,30329
St Bede's Episcopal Church,2601 Henderson Mill Rd NE,Atlanta,GA,30345
St Dunstan's Episcopal Church,4393 Garmon Rd NW,Atlanta,GA,30327
St Luke's Episcopal Church,435 Peachtree St NE,Atlanta,GA,30308
St Martin in the Fields Church,3110 Ashford Dunwoody Rd NE,Atlanta,GA,30319
St Patrick's Episcopal Church,4755 N Peachtree Rd,Atlanta,GA,30338
St Paul's Episcopal Church,576 Roscoe Rd,Newnan,GA,30263
Church of Atlanta Lighthouse,PO Box 18212,Atlanta,GA,30316
Community Church of God,PO Box 6356,Macon,GA,31208
Martin Street Church of God,148 Glenwood Ave SE,Atlanta,GA,30312
Salvation Army,4648 Robie Rd SW,Lilburn,GA,30047
Congregation Beth Jacob,1855 Lavista Rd NE,Atlanta,GA,30329
Congregation Beth Shalom,5303 Winters Chapel Rd,Atlanta,GA,30360
Congregation B'Nai Torah,700 Mount Vernon Hwy NW,Atlanta,GA,30327
Congregation Shearith Israel,1180 University Dr NE,Atlanta,GA,30306
Temple,1589 Peachtree St NE,Atlanta,GA,30309
Temple Emanuel-Greater Atlanta,1580 Spalding Dr,Atlanta,GA,30350
Temple Sinai,5645 Dupree Dr NW,Atlanta,GA,30327
Lutheran Church of Apostles,6025 Glenridge Dr NE,Atlanta,GA,30328
Lutheran Church-the Ascension,120 Bull St,Savannah,GA,31401
Lutheran Church-the Atonement,1875 Simpson Rd NW,Atlanta,GA,30314
Peachtree Road Lutheran Child,3686 Peachtree Rd NE,Atlanta,GA,30319
Redeemer Lutheran Church,731 Peachtree St NE,Atlanta,GA,30308
Rivercliff Lutheran Church,8750 Roswell Rd,Atlanta,GA,30350
St Johns Lutheran Church,1410 Ponce de Leon Ave NE,Atlanta,GA,30307
St Luke Lutheran Church,3264 Northside Pky NW,Atlanta,GA,30327
St Matthew Lutheran Church,PO Box 12148,Columbus,GA,31917
Atlanta Church of Religious,"2801 Buford Hwy NE, #t30",Atlanta,GA,30324
A New Harvest United Methodist,575 Boulevard SE,Atlanta,GA,30312
Alexander Memorial Ame Chr,287 Augusta Ave SE,Atlanta,GA,30315
Atlanta First United Methodist,360 Peachtree St NE,Atlanta,GA,30308
Ben Hill United Methodist Chr,2099 Fairburn Rd SW,Atlanta,GA,30331
Bethel United Methodist Church,245 Fairview Rd,Stockbridge,GA,30281
Bethlehem United Methodist Chr,4195 Bakers Ferry Rd SW,Atlanta,GA,30331
Big Bethel Ame Church,220 Auburn Ave NE,Atlanta,GA,30303
Briarcliff United Methodist,4105 Briarcliff Rd NE,Atlanta,GA,30345
Butler Street Cme Church,23 Jesse Hill Jr Dr SE,Atlanta,GA,30303
Capitol View United Methodist,661 Dill Ave SW,Atlanta,GA,30310
Cascade United Methodist Chr,3144 Cascade Rd SW,Atlanta,GA,30311
Centenary United Methodist Chr,1290 College St,Macon,GA,31201
Central United Methodist Chr,503 Mitchell St SW,Atlanta,GA,30314
Cokesbury United Methodist Chr,5411 Skidaway Rd,Savannah,GA,31406
Collins Memorial United Meth,2220 Bolton Rd NW,Atlanta,GA,30318
Dodd Sterling United Methodist,3272 Browns Mill Rd SE,Atlanta,GA,30354
Druid Hills United Methodist,1200 Ponce de Leon Ave NE,Atlanta,GA,30306
East Lake United Methodist Chr,2500 Hosea L Williams Dr NE,Atlanta,GA,30317
First Ame Church,PO Box 413,Athens,GA,30603
Flipper Temple Ame Church,580 Fair St SW,Atlanta,GA,30314
Fort Street Memorial United,PO Box 54978,Atlanta,GA,30308
Georgia Oliver United Meth Chr,3202 Bankhead Hwy NW,Atlanta,GA,30331
Glenn Memorial United Meth Chr,1660 N Decatur Rd NE,Atlanta,GA,30307
Grace United Methodist Church,PO Box 1448,Covington,GA,30015
Haygood Preschool,1015 E Rock Springs Rd NE,Atlanta,GA,30306
Hoosier Memorial United Meth,2545 Benjamin E Mays Dr SW,Atlanta,GA,30311
Inman Park United Methodist,1015 Edgewood Ave NE,Atlanta,GA,30307
Mt Zion United Methodist Chr,2840 Metropolitan Pky SW,Atlanta,GA,30315
North Springs United Methodist,7770 Roswell Rd,Atlanta,GA,30350
Northside United Methodist Chr,2799 Northside Dr NW,Atlanta,GA,30305
Owl Rock United Methodist Chr,5291 Campbellton Rd SW,Atlanta,GA,30331
Poplar Springs United Meth Chr,PO Box 310717,Atlanta,GA,31131
Sandy Springs United Methodist,400 Mount Vernon Hwy NW,Atlanta,GA,30327
Skyland United Methodist Chr,1850 Skyland Ter NE,Atlanta,GA,30319
St James United Methodist,4400 Peachtree-Dunwoody Rd NE,Atlanta,GA,30342
St John Child Developement Ctr,550 Mount Paran Rd NW,Atlanta,GA,30327
St Mark United Methodist Chr,6795 Whitesville Rd,Columbus,GA,31904
St Paul Ame Church,PO Box 2066,Covington,GA,30015
St Paul United Methodist Chr,PO Box 5116,Columbus,GA,31906
St Philip Ame Church,240 Candler Rd SE,Atlanta,GA,30317
Trinity United Methodist Chr,PO Box 602,Pooler,GA,31322
Turner Chapel Ame Church,548 Lawrence St NE,Marietta,GA,30060
Warren Memorial United Meth,181 Joseph E Lowery Blvd SW,Atlanta,GA,30314
West Mitchell Cme Church,PO Box 4539,Atlanta,GA,30302
West Side Community Cme Chr,2114 Martin Luther King Jr Dr SW,Atlanta,GA,30310
Winters Chapel United Meth,5105 Winters Chapel Rd,Atlanta,GA,30360
Believers Bible Christian Chr,PO Box 311200,Atlanta,GA,31131
Christian Family Worship Ctr,1401 Hosea L Williams Dr SE,Atlanta,GA,30317
Church in Atlanta,2345 Shallowford Rd NE,Atlanta,GA,30345
Church of Christ West End,1303 Ralph David Abernathy Blvd SW,Atlanta,GA,30310
Dunwoody Community Church,2250 Dunwoody Club Dr,Atlanta,GA,30350
Faith Walk Ministries,PO Box 450165,Atlanta,GA,31145
First Metropolitan Community,1379 Tullie Rd NE,Atlanta,GA,30329
Free Gospel Church,PO Box 17506,Atlanta,GA,30316
God's Church Intl Fellowship,PO Box 44151,Atlanta,GA,30336
Gospel Tabernacle,PO Box 18115,Atlanta,GA,30316
Greater Liberty Hill Baptist,PO Box 18265,Atlanta,GA,30316
Hillside Chapel ,2450 Cascade Rd SW,Atlanta,GA,30311
Northside Community Evnglcl,5185 Peachtree Dunwoody Rd NE,Atlanta,GA,30342
Pilgrim Church of Atlanta,208 1st Ave SE,Atlanta,GA,30317
Praise Christian Ctr,3340 Stone Rd SW,Atlanta,GA,30331
Resurrection House-Nation,PO Box 490190,Atlanta,GA,30349
Salem Baptist Church,1724 Highway 155 N,McDonough,GA,30252
Victory Outreach Church,PO Box 89035,Atlanta,GA,30312
Wellington Boone Ministries,PO Box 941400,Atlanta,GA,31141
Wings of Faith,2847 Main St,Atlanta,GA,30344
Wings of Faith Ministries,"2847 Main St, #100",Atlanta,GA,30344
Greek Orthodox Cathedral,2500 Clairmont Rd NE,Atlanta,GA,30329
St Elias Antiochian Orthodox,2045 Ponce de Leon Ave NE,Atlanta,GA,30307
St John Chrysostom Melkite,1428 Ponce de Leon Ave NE,Atlanta,GA,30307
Bible Way Ministries,PO Box 6743,Atlanta,GA,30315
Blood N Fire Ministries,PO Box 38194,Atlanta,GA,30334
Cathedral of Faith Church-God,1137 Avon Ave SW,Atlanta,GA,30310
Church of Hope,2950 Stone Hogan Conn SW,Atlanta,GA,30331
Citadel of Hope Evangelistic,1517 Ralph David Abernathy Blvd SW,Atlanta,GA,30310
