style,color,url
D1349, Black-pink,https://www.dropbox.com/s/6rie4vcxdz3gec2/D1349%20Black-pink_2_wm.jpg?dl=1
D1423B, Black,https://www.dropbox.com/s/271f893sd7oywls/D1423B%20Black_back_wm.jpg?dl=1
D1423B, Black,https://www.dropbox.com/s/ycbfxvafovf8zyc/D1423B%20Black_wm.jpg?dl=1
D1423B, Champagne,https://www.dropbox.com/s/gpvv20h43y6xiau/D1423B%20Champagne_dress_wm.jpg?dl=1
D1423B, Champagne,https://www.dropbox.com/s/hpeezna8p9oiyjm/D1423B%20Champagne_wm.jpg?dl=1
D1423B, Lt. Silver,https://www.dropbox.com/s/xit8n3gvvm9amc8/D1423B%20Lt.%20Silver_dress_wm.jpg?dl=1
D1423B, Lt. Silver,https://www.dropbox.com/s/pnzqigff7k8or8w/D1423B%20Lt.%20Silver_wm.jpg?dl=1
D1423B, White,https://www.dropbox.com/s/vl77qje3whqqu5d/D1423B%20White_wm.jpg?dl=1
D1424, Burgundy,https://www.dropbox.com/s/zfgxneenlxr5ary/D1424%20Burgundy_back_wm.jpg?dl=1
D1424, Burgundy,https://www.dropbox.com/s/wrzsqqbko9onm6u/D1424%20Burgundy_wm.jpg?dl=1
D1424, Champagne,https://www.dropbox.com/s/ed6edqdoialvjj7/D1424%20Champagne_back_wm.jpg?dl=1
D1424, Champagne,https://www.dropbox.com/s/1ber1iwka4q4g9t/D1424%20Champagne_dress_wm.jpg?dl=1
D1424, Champagne,https://www.dropbox.com/s/pail90is41scs21/D1424%20Champagne_wm.jpg?dl=1
D1424, Royal,https://www.dropbox.com/s/3yswbdzx156fikm/D1424%20Royal_wm.jpg?dl=1
D1435, Black,https://www.dropbox.com/s/hs553lfc4euol7h/D1435%20Black_wm.jpg?dl=1
D1435, Lavender,https://www.dropbox.com/s/otcu00zivp3dm0i/D1435%20Lavender_wm.jpg?dl=1
D1435, Purple,https://www.dropbox.com/s/zg9dnlu5y4pmsx3/D1435%20Purple_wm.jpg?dl=1
D1435, Sapphire,https://www.dropbox.com/s/9t81df9ffydu53u/D1435%20Sapphire_wm.jpg?dl=1
D1435, White,https://www.dropbox.com/s/nwxx4olw1ad7ukg/D1435%20White_wm.jpg?dl=1
D1444, Black,https://www.dropbox.com/s/uf1tq86qsppd4aj/D1444%20Black_wm.jpg?dl=1
