style,color,sizes,image file
#0920,BLK,#10-18,0920 Black_1_wm.jpg
#0920,WHT,#10-18,0920 White_back_wm.jpg
#0920W,BLK,#14W-28W,0920 Black_1_wm.jpg
#0920W,WHT,#14W-28W,0920 White_back_wm.jpg
#0921,BLK,#10-18,0921 Black_1_wm.jpg
#0921,WHT,#10-18,0921 White_dress_wm.jpg
#0921W,BLK,#14W-26W,0921 Black_1_wm.jpg
#0921W,WHT,#14W-26W,0921 White_dress_wm.jpg
#0924V,WHT,#8-18,N/A
#0924VW,WHT,#14W-24W,N/A
#D1318,FUCHSIA/RYL,"#M,L,XL,1X,2X",D1318 Fuchsia-royal_back_wm.jpg
#D1319,BLUE,#N/A,D1319 Blue_wm.jpg
#D1319,PURPLE,#N/A,D1319 Purple_wm.jpg
#D1320,MUSTARD/GLD,#XL-2X,D1320 Mustard-gold_wm.jpg
#D1320,OLIVE/BLK,#XL-2X,yes
#D1320,RYL,#XL-2X,D1320 Royal_wm.jpg
#D1321,BLK,#N/A,D1321 Black_wm.jpg
#D1321,WHT,#N/A,D1321 White_wm.jpg
#D1322,DENIMDOT,#N/A,D1322 Denim Dot_wm.jpg
#D1323,SIL,#M-1X,D1323 Silver_wm.jpg
#D1323,WHT,#M-1X,D1323 White_wm.jpg
#D1324,DENIMDOT,"#M,L,XL,1X,2X",D1324 Denim Dot_wm.jpg
#D1325,DENIMDOT,"#M,L,XL,1X,2X",D1325 Denim Dot_wm.jpg
#D1326,WHT,#M-1X,D1326 White_wm.jpg
#D1326P,BLUEPRT,#M-1X,D1326P Blue print_wm.jpg
#D1326P,YELPRT,#M-1X,D1326P Yellow print_wm.jpg
#D1327,GREEN,"#M,L,XL,1X,2X",D1327 Green-pink_wm.jpg
#D1327,GREEN/PINK,"#M,L,XL,1X,2X",D1327 Green-pink_wm.jpg
#D1327,GREEN/YEL,"#M,L,XL,1X,2X",D1327 Green-yellow_wm.jpg
#D1327,RYL,"#M,L,XL,1X,2X",D1327 Green-yellow_wm.jpg
#D1329,CORALPINK,#10-18,D1329 Coral pink_wm.jpg
#D1329,WHT,#10-18,D1329 White_back_wm.jpg
#D1329W,CORALPINK,#14W-24W,D1329 Coral pink_wm.jpg
#D1329W,WHT,#14W-24W,D1329 White_back_wm.jpg
#D1331,RAINBOW,"#M,L,XL,1X,2X",D1331 Rainbow_wm.jpg
#D1331,RED,"#M,L,XL,1X,2X",D1331 Red_back_wm.jpg
#D1332,BLACK/WHT,#S-2X,D1332 Black-wht_wm.jpg
#D1332,BLK/BLK,#S-2X,D1332 Black-black_back_wm.jpg
#D1332,WHT/WHT,#S-2X,D1332 White-white_wm.jpg
#D1333,IVY,#12-18,D1333 Ivory_wm.jpg
#D1333,NAVY,#12-18,D1333 Navy_1_wm.jpg
#D1333W,LAV,#14W-26W,D1333 Lavender_back_wm.jpg
#D1333W,NAVY,#14W-24W,D1333 Navy_1_wm.jpg
#D1334,PURPLE,#10-18,D1334 Purple_wm.jpg
#D1334W,NAVY,#14W-26W,D1334 Navy_dress_wm.jpg
#D1334W,PURPLE,#14W-26W,D1334 Purple_wm.jpg
#D1335,W/B,#10-18,D1335 White-blk_wm.jpg
#D1335W,W/B,#14W-26W,D1335 White-blk_wm.jpg
#D1336W,W/B,#14W-26W,D1336 White-blk_wm.jpg
#D1337,MULTI,#10-18,D1337 Multi_wm.jpg
#D1337W,MULTI,#14W-24W,D1337 Multi_wm.jpg
#D1338,BLACK/WHT,#10-18,D1338 Black-wht_wm.jpg
#D1338W,BLACK/WHT,#14W-26W,D1338 Black-wht_wm.jpg
#D1339W,GOLD/RYL,#14W-26W,D1339 Gold-royal_wm.jpg
#D1340,GOLD/RED/BLK,#8-18,D1340 Gold-red-blk_1_wm.jpg
#D1340W,GOLD/RED/BLK,#14W-26W,D1340 Gold-red-blk_1_wm.jpg
#D1341,ORGMULTI,#10-18,D1341 Orange multi_wm.jpg
#D1341,SFMMULTI,#10-18,D1341 Seafoam multi_wm.jpg
#D1341W,ORGMULTI,#16W-24W,D1341 Orange multi_wm.jpg
#D1341W,SFMMULTI,#16W-24W,D1341 Seafoam multi_wm.jpg
#D1342,BLK/RED,#8-18,D1342 Black-red_1_wm.jpg
#D1342,WHT/ROYAL,#8-18,D1342 White-royal_back_wm.jpg
#D1342W,BLK/RED,#14W-26W,D1342 Black-red_1_wm.jpg
#D1342W,WHT/ROYAL,#14W-26W,D1342 White-royal_back_wm.jpg
#D1343W,WHT,#14W-28W,D1343 White_1_wm.jpg
#D1344,GLD/BLK,#6-18,D1344 Gold-blk_1_wm.jpg
#D1344,RED,#6-18,N/A
#D1344,WHT01,#6-18,yes
#D1344W,GLD/BLK,#14W-26W,D1344 Gold-blk_1_wm.jpg
#D1344W,RED,#14W-26W,N/A
#D1344W,WHT01,#14W-28W,yes
#D1345,SAPPHIRE,#10-18,D1345 Sapphire_1_wm.jpg
#D1345,WHT,#10-18,D1345 White_wm.jpg
#D1345W,GOLD,#14W-26W,D1345 Gold_dress_wm.jpg
#D1345W,SAPPHIRE,#14W-26W,D1345 Sapphire_1_wm.jpg
#D1345W,WHT,#14W-26W,D1345 White_wm.jpg
#D1346,BLK,#10-18,D1346 Black_wm.jpg
#D1346,WHT,#8-18,D1346 White_wm.jpg
#D1346W,BLK,#14W-26W,D1346 Black_wm.jpg
#D1346W,WHT,#14W-30W,D1346 White_wm.jpg
#D1347,MULTI,#10-18,D1347 Multi_wm.jpg
#D1347W,MULTI,#14W-26W,D1347 Multi_wm.jpg
#D1348,MULTI,#10-18,D1348 Multi_back_wm.jpg
#D1348W,MULTI,#14W-26W,D1348 Multi_back_wm.jpg
#D1349,BLK/PNK,#8-18,D1349 Black-pink_1_wm.jpg
#D1349W,BLK/PNK,#14W-28W,D1349 Black-pink_1_wm.jpg
#D1350,W/B,"#M,L,XL,1X,2X",D1350 White-blk_back_wm.jpg
#D1351,BLK,"#M,L,XL,1X,2X",N/A
#D1351,WHT,"#M,L,XL,1X,2X",D1351 White_back_wm.jpg
#D1423,DK.SILVER,#10-18,N/A
#D1423B,BLK,#12-20,D1423B Black_back_wm.jpg
#D1423B,CHAM,#10-18,D1423B Champagne_dress_wm.jpg
#D1423B,LT.SILVER,#10-18,D1423B Lt. Silver_dress_wm.jpg
#D1423BW,BLK,#14W-24W,D1423B Black_back_wm.jpg
#D1423BW,CHAM,#14W-26W,D1423B Champagne_dress_wm.jpg
#D1423BW,LT.SILVER,#14W-26W,D1423B Lt. Silver_dress_wm.jpg
#D1423W,DK.SILVER,#14W-26W,N/A
#D1423W,SIL,#14W-22W,D1423B Lt. Silver_dress_wm.jpg
#D1424,BLK,#10-18,D1424 Black_wm.jpg
#D1424,BURGUNDY,#10-18,D1424 Burgundy_back_wm.jpg
#D1424,CHAM,#10-18,D1424 Champagne_back_wm.jpg
#D1424,WHT,#10-18,D1424 White_wm.jpg
#D1424W,BURGUNDY,#14W-26W,D1424 Burgundy_back_wm.jpg
#D1424W,CHAM,#14W-26W,D1424 Champagne_back_wm.jpg
#D1424W,RYL,#14W-26W,D1424 Royal_wm.jpg
#D1424W,WHT,#14W-26W,D1424 White_wm.jpg
#D1435,BLK,#6-18,D1435 Black_wm.jpg
#D1435,LAV,#6-18,D1435 Lavender_wm.jpg
#D1435,PURPLE,#6-18,D1435 Purple_wm.jpg
#D1435,SAPPHIRE,#6-18,D1435 Sapphire_wm.jpg
#D1435,WHT,#6-18,D1435 White_wm.jpg
#D1435W,BLK,#14W-28W,D1435 Black_wm.jpg
#D1435W,PURPLE,#14W-32W,D1435 Purple_wm.jpg
#D1435W,SAPPHIRE,#14W-30W,D1435 Sapphire_wm.jpg
#D1435W,WHT,#14W-32W,D1435 White_wm.jpg
#D1446,PURP/BLK,#10-18,D1446 Purple-blk_wm.jpg
#D1446,S.PINK/BLK,#8-18,D1446 S.Pink-black_wm.jpg
#D1446W,NVY/W,#14W-26W,D1446 Navy-wht_wm.jpg
#D1446W,PURP/BLK,#14W-26W,D1446 Purple-blk_wm.jpg
#D1446W,RED/BLK,#16W-26W,D1446 Red-black_wm.jpg
#D1446W,S.PINK/BLK,#14W-26W,D1446 S.Pink-black_wm.jpg
#D1450,IVY,#10-18,D1450 Ivory_1_wm.jpg
#D1450,LIME,#12-18,D1450 Lime_wm.jpg
#D1450,PURPLE,#12-18,D1450 Purple_wm.jpg
#D1450,RYL,#10-18,D1450 Royal_back_wm.jpg
#D1450W,BLK,#14W-26W,D1450 Black_wm.jpg
#D1450W,IVY,#16W-24W,D1450 Ivory_1_wm.jpg
#D1450W,LIME,#16W-24W,D1450 Lime_wm.jpg
#D1450W,PURPLE,#16W-24W,D1450 Purple_wm.jpg
#D1450W,RYL,#14W-26W,D1450 Royal_back_wm.jpg
#D1451,BLK,#8-18,D1451 Black_wm.jpg
#D1451,CRAN,#8-18,D1451 Cranberry_wm.jpg
#D1451,WHT,#8-18,D1451 White_wm.jpg
#D1451W,BLK,#14W-26W,D1451 Black_wm.jpg
#D1451W,CRAN,#14W-26W,D1451 Cranberry_wm.jpg
#D1451W,WHT,#14W-26W,D1451 White_wm.jpg
#D1453,ICEBLUE,#8-18,D1453 Ice blue_wm.jpg
#D1453,PINK,#8-18,D1453 Pink_wm.jpg
#D1453W,ICEBLUE,#14W-26W,D1453 Ice blue_wm.jpg
#D1453W,PINK,#14W-26W,D1453 Pink_wm.jpg
#D1455,BLK,#10-18,D1455 Black_wm.jpg
#D1455,LAV,#10-18,D1455 Lavender_back_wm.jpg
#D1455,WHT,#10-18,D1455 White_wm.jpg
#D1455W,BLK,#14W-24W,D1455 Black_wm.jpg
#D1455W,LAV,#14W-24W,D1455 Lavender_back_wm.jpg
#D1455W,WHT,#14W-24W,D1455 White_wm.jpg
#D1457W,WHT/BLUE,#16W-24W,D1457 White-blue_wm.jpg
#D1457W,WHT/PNK,#16W-24W,D1457 White-pink_wm.jpg
#D1458,BURGUNDY,#10-18,D1458 Burgundy_dress_wm.jpg
#D1458,GREEN,#10-18,D1458 Green_wm.jpg
#D1458,NAVY,#8-18,D1458 Navy_wm.jpg
#D1458,WHT,#8-18,D1458 White_wm.jpg
#D1458W,BURGUNDY,#14W-26W,D1458 Burgundy_dress_wm.jpg
#D1458W,GREEN,#16W-26W,D1458 Green_wm.jpg
#D1458W,NAVY,#14W-26W,D1458 Navy_wm.jpg
#D1458W,PINK,#14W-26W,D1458 Pink_1_wm.jpg
#D1458W,WHT,#14W-26W,D1458 White_wm.jpg
