code,color,royaltor,descript,stdcost,price,division,category,season,user4,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,sku,cost,grp,warehouse,memo,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,onhand,onorder,wip,pick,alloc,available,is_actual,active,ats1,ats2,ats3,ats4,ats5,ats6,ats7,ats8,ats9,ats10,ats11,ats12,descript
0652,Emerald,,3 PC WASHABLE 0557,,45.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0000,0,0,129.0000,,1,0,18.0000,26.0000,29.0000,30.0000,26.0000,0,0,0,0,0,0,EMERALD
0652,RED,,3 PC WASHABLE 0557,,45.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,134.0000,0,0,127.0000,,1,0,14.0000,20.0000,34.0000,34.0000,25.0000,0,0,0,0,0,0,RED
0652W,BLK,,3 PC WASHABLE 0557,,45.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,123.0000,0,0,118.0000,,1,0,0,20.0000,20.0000,30.0000,29.0000,19.0000,0,0,0,0,0,BLACK
0652W,Emerald,,3 PC WASHABLE 0557,,45.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0000,0,0,164.0000,,1,0,0,21.0000,26.0000,26.0000,24.0000,25.0000,26.0000,16.0000,0,0,0,EMERALD
0652W,RED,,3 PC WASHABLE 0557,,45.0000,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,138.0000,0,0,133.0000,,1,0,0,20.0000,24.0000,24.0000,24.0000,25.0000,16.0000,0,0,0,0,RED
0653,BLK,,2PC,,0,M1,SUIT,,N,,,,,,,,,,,,,,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0000,0,0,114.0000,,1,0,16.0000,16.0000,31.0000,31.0000,20.0000,0,0,0,0,0,0,BLACK
0653,WHT,,2PC,,0,M5,SUIT,,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,137.0000,0,0,126.0000,,1,10.0000,12.0000,28.0000,27.0000,31.0000,18.0000,0,0,0,0,0,0,WHITE
0653W,BLK,,2PC,,0,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0000,0,0,149.0000,,1,0,0,20.0000,30.0000,29.0000,26.0000,20.0000,12.0000,12.0000,0,0,0,BLACK
0653W,WHT,,2PC,,0,W3,SUIT,ALL,N,,,,,,,,,,,,,,,14W,16W,18W,20W,22W,24W,26W,,,,,0,GIO,00,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,164.0000,0,0,161.0000,,1,0,0,20.0000,29.0000,30.0000,29.0000,20.0000,21.0000,12.0000,0,0,0,WHITE
0654,RED,,2 PC SET Washable,,39.0000,M5,SUIT,ALL,N,,,,,,,,,,,,,8,10,12,14,16,18,,,,,,,,0,GIO,00,,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5.0000,,1,0,5.0000,0,0,0,0,0,0,0,0,0,0,RED
