Style,ATS COLOR,COLOR,SIZE,URL,INDEX
G0844,SIL, Silver,14,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,1
G0844,SIL, Silver,14,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,2
G0844,SIL, Silver,16,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,1
G0844,SIL, Silver,16,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,2
G0844,SIL, Silver,18,https://dl.dropboxusercontent.com/s/l6uu43nr7ftcj4n/G0844%20Silver_1_wm.jpg?dl=0,1
G0844,SIL, Silver,18,https://dl.dropboxusercontent.com/s/1ztodt17v02kc06/G0844%20Silver_2_wm.jpg?dl=0,2
G0844,WHT, White,8,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,0
G0844,WHT, White,10,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,0
G0844,WHT, White,12,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,0
G0844,WHT, White,14,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,0
G0844,WHT, White,16,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,0
G0844,WHT, White,18,https://dl.dropboxusercontent.com/s/g243gff0nh8iqjq/G0844%20White_wm.jpg?dl=0,0
G0844W,BLK, Black,14W,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844W,BLK, Gold-blk,14W,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844W,BLK, Gold-blk,14W,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844W,BLK, Gold-blk,14W,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844W,BLK, Black,16W,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
G0844W,BLK, Gold-blk,16W,https://dl.dropboxusercontent.com/s/snioj559bmsdkkz/G0844%20Gold-blk_back_wm.jpg?dl=0,back
G0844W,BLK, Gold-blk,16W,https://dl.dropboxusercontent.com/s/488pj3l8x63ynh1/G0844%20Gold-blk_cami_wm.jpg?dl=0,cami
G0844W,BLK, Gold-blk,16W,https://dl.dropboxusercontent.com/s/0zmm4h96q4fz7lg/G0844%20Gold-blk_wm.jpg?dl=0,0
G0844W,BLK, Black,18W,https://dl.dropboxusercontent.com/s/p3e7t91pj56khhi/G0844%20Black_wm.jpg?dl=0,0
