Style,ATS COLOR,COLOR,SIZE,URL,INDEX
S0714,DK. CHOCO, DK Chocolate,16,https://dl.dropboxusercontent.com/s/ilqrfuc9vof6r79/S0714%20DK%20Chocolate_wm.jpg?dl=0,0
S0714,DK. CHOCO, DK Chocolate,18,https://dl.dropboxusercontent.com/s/38o6drtbvo35guw/S0714%20DK%20Chocolate_back_wm.jpg?dl=0,back
S0714,DK. CHOCO, DK Chocolate,18,https://dl.dropboxusercontent.com/s/ilqrfuc9vof6r79/S0714%20DK%20Chocolate_wm.jpg?dl=0,0
S0714,PINK, Pink,10,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714,PINK, Pink,12,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714,PINK, Pink,14,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714,PINK, Pink,16,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714,PINK, Pink,18,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714W,PINK, Pink,16W,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714W,PINK, Pink,18W,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714W,PINK, Pink,20W,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714W,PINK, Pink,22W,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
S0714W,PINK, Pink,24W,https://dl.dropboxusercontent.com/s/x0cu17p5vb9zr63/S0714%20Pink_wm.jpg?dl=0,0
